@relation InstanceResultListener

@attribute Key_Dataset {breast-cancer,german_credit,pima_diabetes,ionosphere}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.functions.VotedPerceptron,weka.classifiers.functions.SMO}
@attribute Key_Scheme_options {'-I 1 -E 1.0 -S 1 -M 10000','-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K ‚"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007‚" -calibrator ‚"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4‚"'}
@attribute Key_Scheme_version_ID {-1072429260104568698,-6585883636378691736}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data
breast-cancer,3,1,weka.classifiers.functions.VotedPerceptron,'-I 1 -E 1.0 -S 1 -M 10000',-1072429260104568698,20191104.1033,257,29,19,10,0,65.517241,34.482759,0,0.082278,0.335554,0.573388,79.305984,123.890454,25.930469,2985.215065,-2959.284596,0.894154,102.938451,-102.044296,3.792056,0.130761,14.623939,0.85,17,0.777778,7,0.222222,2,0.15,3,0.708333,0.85,0.772727,0.088454,0.572222,0.72374,0.655172,0.58295,0.41705,0.344828,0.612644,0.655172,0.621585,0.088454,0.629981,0.663959,0.529221,0.655172,0.005,0.001,0,0,0,0,208196,31137,6285,68.965517,51.724138,?
breast-cancer,3,2,weka.classifiers.functions.VotedPerceptron,'-I 1 -E 1.0 -S 1 -M 10000',-1072429260104568698,20191104.1033,257,29,18,11,0,62.068966,37.931034,0,-0.045902,0.380946,0.615945,90.034088,133.08553,25.930469,4609.942726,-4584.012257,0.894154,158.963542,-158.069388,1.010983,0.034861,3.898821,0.85,17,0.888889,8,0.111111,1,0.15,3,0.68,0.85,0.755556,-0.052175,0.477778,0.682145,0.62069,0.659579,0.340421,0.37931,0.546552,0.62069,0.568818,-0.052175,0.510536,0.583128,0.454701,0.62069,0.003,0.001,0,0.015625,0,15.625,208196,31137,6285,62.068966,50,?
breast-cancer,3,3,weka.classifiers.functions.VotedPerceptron,'-I 1 -E 1.0 -S 1 -M 10000',-1072429260104568698,20191104.1033,257,29,23,6,0,79.310345,20.689655,0,0.485207,0.206897,0.454859,48.898678,98.28013,25.930469,3232.906671,-3206.976202,0.894154,111.47954,-110.585386,12.376256,0.426767,47.728626,0.9,18,0.444444,4,0.555556,5,0.1,2,0.818182,0.9,0.857143,0.492512,0.727778,0.805329,0.793103,0.337548,0.662452,0.206897,0.785938,0.793103,0.785099,0.492512,0.69933,0.726219,0.741071,0.793103,0.002,0.001,0,0,0,0,208196,31137,6285,79.310345,50,?
breast-cancer,3,4,weka.classifiers.functions.VotedPerceptron,'-I 1 -E 1.0 -S 1 -M 10000',-1072429260104568698,20191104.1033,257,29,21,8,0,72.413793,27.586207,0,0.210884,0.275861,0.525225,65.198102,113.483882,25.930469,2376.753646,-2350.823177,0.894154,81.957022,-81.062868,7.85821,0.270973,30.304927,0.95,19,0.777778,7,0.222222,2,0.05,1,0.730769,0.95,0.826087,0.261624,0.605556,0.738244,0.724138,0.551916,0.448084,0.275862,0.710875,0.724138,0.673163,0.261624,0.598659,0.658628,0.57971,0.724138,0.002,0,0,0,0,0,208196,31137,6285,72.413793,50,?
breast-cancer,3,5,weka.classifiers.functions.VotedPerceptron,'-I 1 -E 1.0 -S 1 -M 10000',-1072429260104568698,20191104.1033,257,29,18,11,0,62.068966,37.931034,0,-0.045902,0.370036,0.602708,87.455761,130.225475,25.930469,1963.072798,-1937.142329,0.894154,67.692165,-66.798011,1.533021,0.052863,5.912045,0.85,17,0.888889,8,0.111111,1,0.15,3,0.68,0.85,0.755556,-0.052175,0.513889,0.696222,0.62069,0.659579,0.340421,0.37931,0.546552,0.62069,0.568818,-0.052175,0.566475,0.624549,0.454701,0.62069,0.004,0.001,0,0,0,0,208196,31137,6285,65.517241,51.724138,?
breast-cancer,3,6,weka.classifiers.functions.VotedPerceptron,'-I 1 -E 1.0 -S 1 -M 10000',-1072429260104568698,20191104.1033,257,29,25,4,0,86.206897,13.793103,0,0.654762,0.139566,0.371495,33.969018,82.985448,24.707459,2462.577619,-2437.87016,0.851981,84.91647,-84.064488,15.643885,0.539444,63.316447,0.904762,19,0.25,2,0.75,6,0.095238,2,0.904762,0.904762,0.904762,0.654762,0.797619,0.879217,0.862069,0.207307,0.792693,0.137931,0.862069,0.862069,0.862069,0.654762,0.810755,0.806133,0.827381,0.862069,0.005,0,0,0,0,0,208196,31137,6285,86.206897,50,?
breast-cancer,3,7,weka.classifiers.functions.VotedPerceptron,'-I 1 -E 1.0 -S 1 -M 10000',-1072429260104568698,20191104.1033,258,28,23,5,0,82.142857,17.857143,0,0.507042,0.178571,0.422577,43.10345,93.494699,24.187188,1870.367663,-1846.180475,0.863828,66.798845,-65.935017,12.929494,0.461768,53.455962,0.95,19,0.5,4,0.5,4,0.05,1,0.826087,0.95,0.883721,0.530791,0.709375,0.813382,0.821429,0.371429,0.628571,0.178571,0.818634,0.821429,0.807053,0.530791,0.711161,0.753855,0.749553,0.821429,0.005,0,0,0,0,0,208617,31246,6176,82.142857,50,?
breast-cancer,3,8,weka.classifiers.functions.VotedPerceptron,'-I 1 -E 1.0 -S 1 -M 10000',-1072429260104568698,20191104.1033,258,28,22,6,0,78.571429,21.428571,0,0.382353,0.214286,0.46291,51.724138,102.418311,24.187188,2219.499862,-2195.312674,0.863828,79.267852,-78.404024,10.677956,0.381356,44.147156,0.95,19,0.625,5,0.375,3,0.05,1,0.791667,0.95,0.863636,0.419573,0.6625,0.787798,0.785714,0.460714,0.539286,0.214286,0.779762,0.785714,0.75974,0.419573,0.68125,0.718581,0.681818,0.785714,0.004,0.001,0,0,0,0,208617,31246,6176,78.571429,50,?
breast-cancer,3,9,weka.classifiers.functions.VotedPerceptron,'-I 1 -E 1.0 -S 1 -M 10000',-1072429260104568698,20191104.1033,258,28,17,11,0,60.714286,39.285714,0,0,0.397026,0.627047,95.833882,138.733471,24.187188,3544.715475,-3520.528287,0.863828,126.596981,-125.733153,-0.759285,-0.027117,-3.139203,0.75,15,0.75,6,0.25,2,0.25,5,0.714286,0.75,0.731707,0,0.5,0.707963,0.607143,0.607143,0.392857,0.392857,0.591837,0.607143,0.598839,0,0.515179,0.608688,0.499187,0.607143,0.006,0.001,0,0,0,0,208617,31246,6176,60.714286,51.785714,?
breast-cancer,3,10,weka.classifiers.functions.VotedPerceptron,'-I 1 -E 1.0 -S 1 -M 10000',-1072429260104568698,20191104.1033,258,28,19,9,0,67.857143,32.142857,0,-0.067797,0.321429,0.566947,77.586207,125.436301,24.187188,1093.562841,-1069.375653,0.863828,39.055816,-38.191988,3.923339,0.140119,16.220733,0.95,19,1,8,0,0,0.05,1,0.703704,0.95,0.808511,-0.121716,0.5125,0.720253,0.678571,0.728571,0.271429,0.321429,0.502646,0.678571,0.577508,-0.121716,0.597321,0.666785,0.404255,0.678571,0.004,0.001,0.015625,0,15.625,0,208617,31246,6176,67.857143,50,?
